CWL Season: June 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
Sudan B.Knights,CRASH,18,lastfiddler,18,3,100.0%,2:22
Da Corner Hutz,babyacorns,18,SR☣PŘIÑČË ✨,18,3,100.0%,1:55
Da Corner Hutz,jay,18,Alexa,18,3,100.0%,2:04
Da Corner Hutz,MonseurMaiDra,18,+tTrOoPbEnDeR *,18,3,100.0%,2:43
Da Corner Hutz,joshu,18,Da Bogeyman,18,2,88.0%,2:51
Da Corner Hutz,YokoEno,18,fire,18,2,89.0%,3:00
Da Corner Hutz,alphaster17,18,swimswimmer,18,3,100.0%,2:05
Da Corner Hutz,rackam,18,Yampa,18,3,100.0%,1:43
Da Corner Hutz,CRASH,18,CoNcUsSiOnHd13,18,2,81.0%,2:54
Da Corner Hutz,ben,18,JAKDCITY,18,3,100.0%,2:26
Da Corner Hutz,Little Roodie!,18,Manimal,18,3,100.0%,2:06
Da Corner Hutz,Roodies Raiders,18,sir haasto,18,3,100.0%,2:02
Da Corner Hutz,Brad,18,Big Mike,18,3,100.0%,2:23
Da Corner Hutz,Juliet,18,Jerb,18,3,100.0%,2:55
Da Corner Hutz,Ryan,18,SUB-ZERO,18,2,90.0%,1:46
Da Corner Hutz,brocaleb,18,Alex,18,3,100.0%,2:05
Son of a Witch!,alphaster17,18,BH⚡Jono!!,18,3,100.0%,2:31
Son of a Witch!,YokoEno,18,Ranger Kimon,18,3,100.0%,1:50
Son of a Witch!,babyacorns,18,WP⚡Jono!!!,18,3,100.0%,2:07
Son of a Witch!,MonseurMaiDra,18,RAM,18,3,100.0%,2:25
Son of a Witch!,brocaleb,18,FlyingMonster,18,3,100.0%,2:06
Son of a Witch!,kat,18,⚡RÃGÑÀRØR⚡,18,3,100.0%,1:55
Son of a Witch!,jay,18,rampage,18,3,100.0%,2:26
Son of a Witch!,Brad,18,☆SCBN♧Hero♤,18,3,100.0%,2:26
Son of a Witch!,rackam,18,Harvey Specter,18,3,100.0%,2:11
Son of a Witch!,Little Roodie!,18,Catcraft360,18,3,100.0%,2:05
Son of a Witch!,Roodies Raiders,18,Veed,18,3,100.0%,2:01
Son of a Witch!,ben,18,mothsmoke,18,3,100.0%,2:37
Son of a Witch!,LLoh7,18,Red,18,3,100.0%,2:09
Son of a Witch!,Ryan,18,darthno,18,3,100.0%,1:36
Son of a Witch!,Juliet,18,alright,18,2,83.0%,3:00
kings,alphaster17,18,ṔŔΘΘƑҼŠΘΘҐ,18,2,99.0%,3:00
kings,joshu,18,ميليـــ ـــوداس,18,3,100.0%,2:18
kings,jay,18,MR.MUATH,18,3,100.0%,2:04
kings,brocaleb,18,☠️Dark King☠️,18,3,100.0%,2:04
kings,kat,18,⚔️الشمري⚔️2,18,3,100.0%,1:57
kings,YokoEno,18,dxb,18,2,89.0%,3:00
kings,LLoh7,18,GOOD CRAZY,18,2,92.0%,3:00
kings,MonseurMaiDra,18,k7a10di₁,18,3,100.0%,2:33
kings,babyacorns,18,§ Â1-ßãRäÆ §,18,3,100.0%,1:49
kings,ben,18,『OM』SUHAIB JR™,18,3,100.0%,2:20
kings,Little Roodie!,18,『OM』PRESTIGE™,18,3,100.0%,2:10
kings,Roodies Raiders,18,falcon,18,3,100.0%,1:53
kings,Brad,18,Lion heart,18,3,100.0%,1:41
kings,CRASH,18,alkaabi 6616,18,3,100.0%,2:57
kings,Ryan,18,king saadi,18,3,100.0%,1:24
✨KURDSTAN✨,joshu,18,✌baxtawar✌,18,3,100.0%,2:17
✨KURDSTAN✨,kat,18,⚡️⚡️DANYAR⚡️⚡️,18,2,85.0%,2:30
✨KURDSTAN✨,babyacorns,18,phantom,18,3,100.0%,1:45
✨KURDSTAN✨,jay,18,A K R A M 2,18,3,100.0%,2:07
✨KURDSTAN✨,brocaleb,18,xH4MAx,18,3,100.0%,2:20
✨KURDSTAN✨,alphaster17,18,❤️M.R KÎNG❤️,18,3,100.0%,1:54
✨KURDSTAN✨,rackam,18,H E V A R✨,18,3,100.0%,1:58
✨KURDSTAN✨,MonseurMaiDra,18,BERLIN KOYE,18,3,100.0%,2:31
✨KURDSTAN✨,ben,18,BE BE,18,3,100.0%,2:24
✨KURDSTAN✨,Little Roodie!,18,♠️LUCIFER♠️,18,3,100.0%,1:41
✨KURDSTAN✨,Roodies Raiders,18,ŞERVAN,18,3,100.0%,1:59
✨KURDSTAN✨,CRASH,18,™️{BAHROZ}⚔️☠️,18,2,90.0%,2:57
✨KURDSTAN✨,Juliet,18,BAD BOY,18,3,100.0%,2:34
✨KURDSTAN✨,Brad,18,H0SHANG,18,2,86.0%,3:00
✨KURDSTAN✨,Ryan,18,A K R A M,18,3,100.0%,2:07
master,Ryan,18,SKS♨️SUMAN™️,18,2,90.0%,1:48
master,joshu,18,UN.☘︎ ݁˖LUCKY,18,3,100.0%,2:13
master,alphaster17,18,Abhinandan ™ ✅,18,2,76.0%,3:00
master,MonseurMaiDra,18,SLYQZI,18,3,100.0%,2:47
master,brocaleb,18,sanjay,18,3,100.0%,2:26
master,YokoEno,18,OF INCOGNITO,18,3,100.0%,2:18
master,jay,18,AMAN PAL,18,3,100.0%,2:41
master,kat,18,DS Slyqzi,18,3,100.0%,2:03
master,rackam,18,⚔️ʀǟɦʊʟ乂ᴵᵂ♨️™⋆˙,18,3,100.0%,1:39
master,Little Roodie!,18,Big Smoke,18,3,100.0%,1:57
master,Roodies Raiders,18,Fallen Of Albaz,18,2,89.0%,2:27
master,Brad,18,Glitch_Boy,18,3,100.0%,1:38
master,ben,18,Simpson,18,3,100.0%,2:29
master,Juliet,18,HooMaN,18,1,80.0%,3:00
master,babyacorns,18,awatzy,18,2,82.0%,2:07
Latin Power,Ryan,18,Missed,0,0,0.0%,
Latin Power,Roodies Raiders,18,Missed,0,0,0.0%,
Latin Power,LLoh7,18,Missed,0,0,0.0%,
Latin Power,kat,18,Missed,0,0,0.0%,
Latin Power,jay,18,Missed,0,0,0.0%,
Latin Power,ben,18,Missed,0,0,0.0%,
Latin Power,babyacorns,18,Missed,0,0,0.0%,
Latin Power,Brad,18,Missed,0,0,0.0%,
Latin Power,joshu,18,Tom9494,18,3,100.0%,2:11
Latin Power,CRASH,18,GAQUI LP⚜️,18,3,100.0%,2:35
Latin Power,MonseurMaiDra,18,Nͥi̇nͣj̇aͫ LP⚜️,18,3,100.0%,2:26
